epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1429.36,2.12819,2.09233,2.47323,0.44287,0.49121,0.38738,0.12761,2.26059,2.15612,2.80345,0.00196733,0.00196733,0.00196733
43,1463.29,2.16071,1.99838,2.47857,0.52317,0.43396,0.42011,0.14412,2.23838,2.16933,2.80407,0.00196573,0.00196573,0.00196573
44,1497.25,2.19434,2.07594,2.49585,0.40635,0.45755,0.35453,0.11083,2.3384,2.19505,2.82035,0.00196409,0.00196409,0.00196409
45,1531.19,2.13837,2.05834,2.48885,0.48958,0.39815,0.39679,0.13908,2.21453,2.16268,2.77611,0.00196241,0.00196241,0.00196241
46,1565.13,2.15186,2.00749,2.48635,0.48919,0.49057,0.45135,0.14322,2.27517,1.99896,2.82525,0.00196069,0.00196069,0.00196069
47,1599.05,2.12787,1.98779,2.43999,0.54634,0.41038,0.4516,0.14776,2.25347,2.08904,2.78301,0.00195894,0.00195894,0.00195894
48,1633.01,2.17301,1.9932,2.50792,0.62399,0.43868,0.47259,0.15398,2.22826,2.02814,2.77241,0.00195714,0.00195714,0.00195714
49,1666.97,2.09174,1.95462,2.45228,0.48146,0.4434,0.43672,0.14973,2.29539,1.91975,2.84026,0.00195532,0.00195532,0.00195532
50,1700.89,2.11697,2.04265,2.45862,0.4852,0.41981,0.40908,0.13076,2.25227,2.1859,2.80024,0.00195345,0.00195345,0.00195345
51,1734.79,2.13425,1.93678,2.45314,0.55516,0.42453,0.47529,0.15932,2.21852,2.01747,2.75612,0.00195155,0.00195155,0.00195155
52,1768.78,2.07031,1.92638,2.42161,0.52494,0.5056,0.47854,0.15927,2.20463,2.05465,2.75504,0.00194961,0.00194961,0.00194961
53,1802.67,2.14484,1.93336,2.47206,0.51028,0.4434,0.45934,0.16628,2.30746,1.94162,2.84571,0.00194763,0.00194763,0.00194763
54,1836.64,2.09169,1.96914,2.41539,0.44493,0.46698,0.42295,0.14216,2.26705,2.06794,2.7739,0.00194561,0.00194561,0.00194561
55,1870.56,2.14175,2.00171,2.46707,0.52115,0.46204,0.45568,0.15029,2.26675,2.01876,2.81339,0.00194356,0.00194356,0.00194356
56,1904.48,2.06582,1.87876,2.40036,0.48094,0.45283,0.42563,0.14065,2.30355,2.07415,2.87086,0.00194147,0.00194147,0.00194147
57,1938.4,2.06453,1.83929,2.40976,0.57275,0.44811,0.45258,0.15592,2.34624,1.98892,2.8619,0.00193935,0.00193935,0.00193935
58,1972.32,2.07755,1.80106,2.40301,0.48202,0.42925,0.42351,0.1446,2.33831,2.04657,2.81997,0.00193718,0.00193718,0.00193718
59,2006.23,2.13092,1.83763,2.44643,0.54519,0.48113,0.50504,0.17049,2.26648,1.91913,2.78296,0.00193499,0.00193499,0.00193499
60,2040.19,2.1067,1.90454,2.45861,0.5012,0.51663,0.45562,0.14574,2.30821,1.9657,2.86903,0.00193275,0.00193275,0.00193275
61,2074.09,2.07957,1.93706,2.39208,0.5296,0.50472,0.44237,0.15697,2.19129,1.95627,2.73732,0.00193048,0.00193048,0.00193048
62,2107.98,2.04814,1.87807,2.38941,0.58621,0.50472,0.53084,0.18988,2.23128,1.82313,2.78246,0.00192817,0.00192817,0.00192817
63,2141.95,2.04311,1.72493,2.35771,0.60852,0.4717,0.48871,0.16539,2.36467,1.97175,2.94074,0.00192583,0.00192583,0.00192583
64,2175.85,2.08346,1.77269,2.37702,0.65323,0.46226,0.51641,0.17532,2.24541,1.93419,2.82557,0.00192345,0.00192345,0.00192345
65,2209.71,1.99966,1.70623,2.36609,0.52146,0.45746,0.46338,0.15754,2.29978,1.89043,2.79961,0.00192103,0.00192103,0.00192103
66,2243.61,2.07898,1.80436,2.36193,0.56111,0.48585,0.51015,0.16933,2.22998,1.93222,2.79643,0.00191858,0.00191858,0.00191858
67,2277.54,2.06042,1.79841,2.35993,0.50341,0.50472,0.46573,0.16407,2.25554,1.94615,2.83964,0.00191609,0.00191609,0.00191609
68,2311.39,2.07542,1.78449,2.37509,0.56972,0.48091,0.48666,0.155,2.34442,1.97073,2.85889,0.00191356,0.00191356,0.00191356
69,2345.29,2.05817,1.78137,2.37269,0.53804,0.41981,0.44724,0.14588,2.31726,2.14482,2.84555,0.001911,0.001911,0.001911
70,2379.1,2.03001,1.73488,2.35978,0.52272,0.48585,0.46052,0.1552,2.25397,2.09213,2.76057,0.00190841,0.00190841,0.00190841
71,2413.04,1.98731,1.64927,2.32775,0.65221,0.5219,0.55195,0.18766,2.26827,1.85788,2.79982,0.00190578,0.00190578,0.00190578
72,2446.96,2.01595,1.68173,2.29776,0.46929,0.46226,0.42252,0.13735,2.30622,2.17802,2.81103,0.00190311,0.00190311,0.00190311
73,2480.83,2.02126,1.73018,2.36244,0.56226,0.50288,0.51689,0.17308,2.31241,1.86836,2.84809,0.00190041,0.00190041,0.00190041
74,2514.74,2.04526,1.72817,2.37801,0.60931,0.53774,0.52745,0.17839,2.27995,1.79488,2.83364,0.00189767,0.00189767,0.00189767
75,2548.61,2.01763,1.72623,2.33954,0.57014,0.50678,0.48226,0.14956,2.34982,1.83985,2.90665,0.0018949,0.0018949,0.0018949
76,2582.36,1.96748,1.66717,2.3191,0.6273,0.60337,0.57456,0.18808,2.23619,1.78322,2.79578,0.0018921,0.0018921,0.0018921
77,2616.25,1.97622,1.60639,2.30902,0.53431,0.49057,0.49306,0.16784,2.30891,1.95584,2.8405,0.00188926,0.00188926,0.00188926
78,2650.01,2.01191,1.71896,2.32292,0.56772,0.4894,0.49424,0.16851,2.28917,1.89191,2.79321,0.00188638,0.00188638,0.00188638
79,2683.76,1.98998,1.61304,2.30488,0.55385,0.48113,0.48689,0.16744,2.33436,1.88786,2.84252,0.00188347,0.00188347,0.00188347
80,2717.62,1.97668,1.70884,2.32982,0.64911,0.55189,0.57106,0.19065,2.28552,1.78724,2.83634,0.00188052,0.00188052,0.00188052
81,2751.53,1.96863,1.60342,2.31106,0.63587,0.52718,0.57039,0.19885,2.2799,1.77611,2.81155,0.00187754,0.00187754,0.00187754
82,2785.47,1.98141,1.61388,2.31921,0.51941,0.47922,0.44737,0.16097,2.32842,1.92305,2.89339,0.00187453,0.00187453,0.00187453
83,2819.42,1.97485,1.6947,2.33553,0.54853,0.50943,0.52183,0.17662,2.22567,1.87935,2.80654,0.00187148,0.00187148,0.00187148
84,2853.36,1.97737,1.60789,2.32209,0.59969,0.55118,0.55894,0.18154,2.27803,1.87001,2.76797,0.0018684,0.0018684,0.0018684
85,2887.34,1.95683,1.62335,2.2896,0.58979,0.54717,0.5448,0.17131,2.33216,1.70734,2.87264,0.00186528,0.00186528,0.00186528
86,2921.24,1.93108,1.62371,2.25259,0.55513,0.56132,0.53922,0.18563,2.29832,1.75531,2.84976,0.00186213,0.00186213,0.00186213
87,2955.11,1.96528,1.59447,2.30953,0.60291,0.53302,0.53123,0.18192,2.33536,1.88753,2.88164,0.00185895,0.00185895,0.00185895
88,2989.02,1.93333,1.63584,2.2893,0.55079,0.52631,0.49741,0.17983,2.26409,1.9346,2.81911,0.00185573,0.00185573,0.00185573
89,3022.88,1.93305,1.53634,2.31079,0.66913,0.52358,0.5798,0.20679,2.23701,1.70951,2.81548,0.00185248,0.00185248,0.00185248
