epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5255.64,1.62676,1.22617,1.56844,0.86481,0.67857,0.77197,0.40619,1.79276,1.11242,1.76309,0.00983666,0.00983666,0.00983666
43,5398.42,1.60927,1.1998,1.56415,0.87098,0.69649,0.78172,0.4052,1.79741,1.1091,1.80039,0.00982864,0.00982864,0.00982864
44,5499.72,1.64611,1.2225,1.58374,0.78471,0.66667,0.74406,0.37374,1.84406,1.2323,1.79887,0.00982043,0.00982043,0.00982043
45,5638.38,1.61434,1.19191,1.56061,0.84823,0.7097,0.78047,0.38775,1.83234,1.12521,1.83346,0.00981204,0.00981204,0.00981204
46,5743.92,1.60369,1.18103,1.55109,0.81133,0.73016,0.78188,0.41311,1.79259,1.06968,1.74942,0.00980345,0.00980345,0.00980345
47,5871.59,1.57916,1.17163,1.53081,0.79416,0.68897,0.76849,0.40239,1.79843,1.12526,1.77807,0.00979468,0.00979468,0.00979468
48,5985.62,1.61088,1.18032,1.55477,0.84574,0.66667,0.77534,0.41988,1.71965,1.08885,1.70173,0.00978572,0.00978572,0.00978572
49,6105.16,1.58415,1.13648,1.53649,0.86384,0.68254,0.79861,0.41714,1.78394,1.05663,1.74328,0.00977658,0.00977658,0.00977658
50,6228.43,1.56623,1.13184,1.52399,0.85349,0.69048,0.77272,0.40827,1.76162,1.07914,1.76538,0.00976725,0.00976725,0.00976725
51,6339.78,1.55387,1.10744,1.50987,0.85337,0.67063,0.76608,0.41612,1.74596,1.00783,1.72148,0.00975773,0.00975773,0.00975773
52,6472.23,1.55536,1.1173,1.51469,0.85837,0.71032,0.80062,0.41695,1.77388,1.04376,1.77264,0.00974803,0.00974803,0.00974803
53,6574.8,1.53515,1.09263,1.49264,0.85026,0.75,0.80499,0.41038,1.80911,1.00459,1.79069,0.00973814,0.00973814,0.00973814
54,6715.94,1.53816,1.11161,1.49698,0.8374,0.7153,0.78335,0.42193,1.73498,1.04811,1.70493,0.00972806,0.00972806,0.00972806
55,6816.96,1.50934,1.1003,1.48008,0.82517,0.7117,0.78409,0.40992,1.82697,1.02221,1.78293,0.0097178,0.0097178,0.0097178
56,6953.15,1.52182,1.07867,1.48629,0.86358,0.70336,0.78033,0.41152,1.75872,0.9903,1.77183,0.00970736,0.00970736,0.00970736
57,7055.09,1.51657,1.07984,1.49454,0.82835,0.70855,0.78616,0.4124,1.72995,1.08282,1.73396,0.00969673,0.00969673,0.00969673
58,7171.75,1.52074,1.06452,1.48568,0.84322,0.69841,0.76241,0.40779,1.77467,1.05116,1.75223,0.00968592,0.00968592,0.00968592
59,7281.79,1.5208,1.06047,1.4786,0.82088,0.71032,0.78014,0.40598,1.78322,1.02987,1.75356,0.00967493,0.00967493,0.00967493
60,7387.34,1.50684,1.05892,1.47927,0.8442,0.73016,0.79055,0.42393,1.72243,1.02581,1.73805,0.00966375,0.00966375,0.00966375
61,7508.4,1.47426,1.03219,1.4379,0.84493,0.71353,0.77912,0.40565,1.7894,1.04052,1.77984,0.00965239,0.00965239,0.00965239
62,7604.93,1.47354,1.04096,1.44117,0.84555,0.71032,0.79621,0.43532,1.72647,0.99934,1.71318,0.00964085,0.00964085,0.00964085
63,7737.85,1.47173,1.01748,1.44988,0.79935,0.74303,0.77936,0.41963,1.77714,0.95801,1.76681,0.00962913,0.00962913,0.00962913
64,7833.94,1.43628,1.00423,1.41477,0.89277,0.70238,0.80623,0.42583,1.69544,0.99192,1.72333,0.00961723,0.00961723,0.00961723
65,7960.31,1.4516,0.98828,1.42774,0.84832,0.73237,0.79424,0.42513,1.72853,0.97204,1.72855,0.00960515,0.00960515,0.00960515
66,8061.74,1.44792,1.00814,1.42799,0.82763,0.72222,0.78336,0.42116,1.79802,0.96349,1.77107,0.00959289,0.00959289,0.00959289
67,8178.68,1.41981,0.95538,1.40359,0.83261,0.71058,0.79875,0.43747,1.70981,0.95602,1.71344,0.00958044,0.00958044,0.00958044
68,8294.11,1.44002,0.98049,1.40528,0.86878,0.73016,0.78691,0.43356,1.70881,0.98436,1.71587,0.00956782,0.00956782,0.00956782
69,8416.83,1.41732,0.96772,1.39462,0.85035,0.73016,0.80031,0.42466,1.79815,0.92804,1.79532,0.00955502,0.00955502,0.00955502
70,8548.58,1.4268,0.9849,1.40384,0.87588,0.7381,0.82271,0.43875,1.75199,0.90886,1.70859,0.00954205,0.00954205,0.00954205
71,8665.16,1.40816,0.95455,1.40163,0.88594,0.70891,0.80137,0.44066,1.73812,0.95176,1.72719,0.00952889,0.00952889,0.00952889
72,8803.92,1.41079,0.97397,1.39765,0.79734,0.70259,0.77929,0.43848,1.69915,0.94044,1.70147,0.00951556,0.00951556,0.00951556
73,8911.29,1.38771,0.9202,1.37139,0.88012,0.70635,0.79123,0.4421,1.70832,0.91948,1.71542,0.00950206,0.00950206,0.00950206
74,9058.37,1.40542,0.94739,1.40618,0.88,0.72754,0.82114,0.44943,1.72973,0.89796,1.75101,0.00948837,0.00948837,0.00948837
75,9164.76,1.38798,0.93944,1.38522,0.80076,0.74958,0.80946,0.43384,1.68609,0.92197,1.69594,0.00947452,0.00947452,0.00947452
76,9307.28,1.38511,0.93993,1.3798,0.86818,0.72222,0.82286,0.46271,1.66367,0.88067,1.70757,0.00946048,0.00946048,0.00946048
